Product Code;Product Name;Cost Price;Selling Price
DW-ARC40-WJ;DROMEX ARC 40 CAL WINTER JACKETS;R1 700,00;R2 900,00
DW-ARC15-J;DROMEX ARC HRC2 - 15Cal  JACKET;R770,00;R1 200,00
DW-ARC15-P;DROMEX ARC HRC2 - 15Cal  PANTS;R770,00;R650,00
DW-ARC9.9-SST;DROMEX ARC T-SHIRT SHORT SLEEVE, 9.9 CAL;R506,00;R150,00
DW-TSHIRTGY;DROMEX GREY 100% Cotton Crew neck tee shirt;R56,10;R360,00
DW-6535XX-J;"DROMEX COLOURS ""XX"" 6535 Polycotton, SANS 434 FIT CONTI Jacket";R161,70;R330,00
DW-6535XX-P;"DROMEX COLOURS ""XX"" 6535 Polycotton, SANS 434 FIT CONTI Pants";R150,70;R330,00
PROMAX;PROMAX white Disposable Overalls;R47,30;R110,00
DW-CONTI-RTOR;DROMEX ORANGECONTI SUITS with Reflective;R143,00;R155,00
CEM;Classic Muff, SNR 30, Blue;R93,50;R125,00
1020;DROMEX FFP2 (SABS REF: AZ2004/18);R6,74;R15,00
NITRIFLEX-PC;NITRIFLEX Black Sanitized PALM nitrile coated;R19,01;R28,00
NITRIFLEX-PC;NITRIFLEX Black Sanitized PALM nitrile coated;R19,01;R28,00
MIIZULFM4001W;MIIZU 400 THERMAL, HI VIZ, WINTER;R36,19;R42,00
GGOAT;Goatskin VIP, Keystone, ;R27,37;R40,00
NITRIFLEX-PC;NITRIFLEX Black Sanitized PALM nitrile coated;R19,01;R40,00
NITRIFLEX;NITRIFLEX Black Sanitized FULL nitrile coated;R23,41;R56,00
DH-HH-DB;Dromex Hard Hat DARK BLUE (LAMINATION BLUE);R73,70;R120,00
DH-HH-W;Dromex Hard Hat WHITE;R73,70;R120,00
DV-11;DIRECT MESH VENT (1,F);R8,03;R17,00
DV-326B-C-AF;SPOGGLE, CLEAR, ANTI MIST;R61,05;R98,00
DV-004MAX;IN-DIRECT ULTIMATE VISION, WIDE BAND ELASTIC;R49,50;R130,00
DV-004MAX;IN-DIRECT ULTIMATE VISION, WIDE BAND ELASTIC;R49,50;R70,00
DV-026-IR5;SHADE 5.0 GREEN, ANTI SCRATCH;R31,13;R68,00
DV-326B-G-AF;SPOGGLE, GREY, ANTI MIST;R61,05;R103,00
ACE ONE 60x90;ACE Leather welders apron ,60 x 90cm, ONE PIECE;R80,30;R103,00
DF-CHELSEA-BLK;DROMEX CHELSEA BLACK BOOT;R696,30;R1 080,00
DF-CHELSEA-BR;DROMEX CHELSEA BROWN BOOT;R696,30;R1 085,00
1021;DROMEX FFP2 V (SABS REF: AZ2004/17);R12,33;R20,00
DF-UBLK;DROMEX ULTECO SAFETY BOOT BLACK;R413,60;R720,00
CRONUS/RGE;DROMEX CRONUS RED/GREEN PVC gloves, reinf., elbow;R18,70;R35,00
DB-STG-J;DROMEX STORM GLACIER FREEZER JACKET;R310,20;R500,00
DF-SP-STCM;DROMEX SPARTACUS GUMBOOT, STCM;R183,70;R390,00
SA10-LIME; LIME Reflective Vest , ZIP, ID POUCH ;R22,55;R70,00
DF-FLASH;DROMEX FLASHTREAD ARC BOOT;R1 109,90;R1 560,00
DF-SS1050-BLK;DROMEX BOXER CHELSEA BOOT BLACK;R303,60;R800,00
DF-SS1050-BR;DROMEX BOXER CHELSEA BOOT BROWN;R303,60;R800,00
DF-CHELSEA-BLK;DROMEX CHELSEA BLACK BOOT;R696,30;R860,00
